model,accuracy,precision,recall,f1,roc_auc,n,held_out_generator
Model 1 LOGO (held-out=dalle3),0.5862617498192335,0.5963333333333334,0.520209363186973,0.5556763472588911,0.61698102821792,6915,dalle3
Model 1 LOGO (held-out=midjourney),0.5490451388888888,0.5563405157188273,0.45838183934807913,0.5026328386787937,0.5190480021996836,6912,midjourney
Model 1 LOGO (held-out=sd21),0.6612576064908722,0.6384223918575064,0.7323409223584355,0.6821642196846112,0.7278412155875633,6902,sd21
Model 1 LOGO (held-out=sd3),0.6112635379061372,0.6181704651888854,0.5740794433169034,0.5953096812988575,0.6504821530631617,6925,sd3
Model 1 LOGO (held-out=sdxl),0.678654970760234,0.6494871794871795,0.7529726516052319,0.6974118942731278,0.7590585485797636,6840,sdxl
