hf_ratio,noise_std,color_mean_r,color_mean_g,color_mean_b,color_var_r,color_var_g,color_var_b,jpeg_block_score,file,split,label,is_fake
0.4331092834472656,11.084712028503418,145.031982421875,128.13751220703125,111.41102600097656,3625.71435546875,3765.75732421875,2856.99169921875,0.16948628425598145,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00004_DALLE3.jpg,train,dalle3,1
0.4270035922527313,17.19228172302246,83.21553039550781,93.51492309570312,100.58993530273438,5421.72119140625,5443.57177734375,5048.2275390625,0.16193389892578125,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00010_DALLE3.jpg,train,dalle3,1
0.5192838311195374,13.658975601196289,97.31747436523438,89.32383728027344,80.72647094726562,3107.531005859375,3173.84716796875,3019.5078125,0.6888179779052734,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00016_DALLE3.jpg,train,dalle3,1
0.3992432653903961,13.506776809692383,82.11628723144531,88.24983215332031,97.47901916503906,4458.994140625,4724.3974609375,5523.744140625,0.657128095626831,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00022_DALLE3.jpg,train,dalle3,1
0.3446981906890869,9.992857933044434,96.50161743164062,101.06291198730469,101.84796142578125,5028.29150390625,5060.37353515625,4971.42529296875,0.4887378215789795,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00028_DALLE3.jpg,train,dalle3,1
0.45736053586006165,13.287393569946289,131.49253845214844,102.83963012695312,83.86412048339844,3058.736328125,3359.4189453125,3438.972900390625,0.30553531646728516,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00034_DALLE3.jpg,train,dalle3,1
0.47645726799964905,15.19002628326416,121.78129577636719,114.45361328125,109.13996887207031,4263.62060546875,4200.41845703125,3801.83642578125,0.3780689239501953,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00040_DALLE3.jpg,train,dalle3,1
0.43096789717674255,19.9870548248291,137.15658569335938,132.6691436767578,123.80291748046875,7171.064453125,5909.3193359375,5606.3017578125,0.43456029891967773,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00046_DALLE3.jpg,train,dalle3,1
0.44953566789627075,18.07452964782715,136.2762451171875,128.12344360351562,119.06147766113281,5138.31201171875,4948.77978515625,4767.95703125,0.5931096076965332,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00052_DALLE3.jpg,train,dalle3,1
0.4726024866104126,10.006698608398438,81.65370178222656,79.29208374023438,70.72483825683594,2649.0537109375,2540.790771484375,2202.84521484375,-0.4198944568634033,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00058_DALLE3.jpg,train,dalle3,1
0.5531774163246155,18.379018783569336,163.87962341308594,163.5178985595703,155.60971069335938,5207.86767578125,5319.84521484375,5478.9765625,0.6049580574035645,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00064_DALLE3.jpg,train,dalle3,1
0.4102257192134857,10.203701972961426,118.02432250976562,110.39605712890625,101.28074645996094,4065.704833984375,4194.96435546875,4293.56396484375,-0.022980451583862305,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00070_DALLE3.jpg,train,dalle3,1
0.48585373163223267,14.568037986755371,166.21058654785156,141.41099548339844,126.21759033203125,5093.92724609375,5195.86572265625,4852.3388671875,0.3968844413757324,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00076_DALLE3.jpg,train,dalle3,1
0.4136561155319214,11.074167251586914,129.93946838378906,136.97650146484375,141.79153442382812,4461.0380859375,4632.22998046875,4024.1689453125,0.6953744888305664,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00082_DALLE3.jpg,train,dalle3,1
0.6296568512916565,14.429584503173828,91.68106079101562,126.63558959960938,133.1197967529297,4981.93212890625,3178.13671875,2293.55712890625,0.7666664123535156,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00088_DALLE3.jpg,train,dalle3,1
0.5709089040756226,14.154186248779297,101.37776184082031,96.25003051757812,102.27171325683594,2983.48583984375,3120.582275390625,3029.38037109375,0.46614885330200195,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00094_DALLE3.jpg,train,dalle3,1
0.661946713924408,13.23412799835205,150.72601318359375,133.851806640625,107.4423828125,3840.354248046875,3604.59521484375,3207.182861328125,0.47988176345825195,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00100_DALLE3.jpg,train,dalle3,1
0.4829908013343811,13.622298240661621,130.53428649902344,113.44938659667969,100.59016418457031,3381.875,3832.517333984375,4309.6015625,0.6160416603088379,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00106_DALLE3.jpg,train,dalle3,1
0.362981915473938,11.372076988220215,111.37718200683594,126.00736999511719,133.71148681640625,5604.0693359375,3424.720947265625,2409.605712890625,0.05637693405151367,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00112_DALLE3.jpg,train,dalle3,1
0.3741314113140106,10.896029472351074,177.71316528320312,133.66726684570312,118.90306091308594,2373.186279296875,3777.489501953125,3801.762939453125,0.6336674690246582,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00118_DALLE3.jpg,train,dalle3,1
0.5296946167945862,13.302508354187012,53.65437316894531,91.49363708496094,116.71316528320312,3475.374755859375,4200.7861328125,4209.8779296875,0.31098318099975586,E:\437 project\dataset_processed\train\dalle3\dalle3_fake_00124_DALLE3.jpg,train,dalle3,1
